MOUSE ID,B1,B2,B3,L1,L2,L3,D1,D2,D3
481,0,2,4,180,112,22,0,5,7.5
482,1,4,7,179,1,1,5,4,4.571428571
483,3,9,7,23,1,1,3.666666667,5.888888889,5
484,5,6,7,29,1,1,4.4,4.333333333,4.285714286
485,7,10,5,69,1,1,4.857142857,5.5,5
486,4,6,8,84,1,1,4.5,4,3.625
487,0,0,0,180,180,180,0,0,0
488,0,9,4,180,17,30,0,5.222222222,1.25
489,4,9,14,40,1,1,6.5,5.777777778,4.666666667
490,2,10,7,107,1,1,6,4.2,5
491,1,6,5,1,1,22,2,4.333333333,4.833333333
492,6,12,12,41,1,1,4.5,5.416666667,4.461538462
493,0,14,2,180,1,53,0,5.357142857,5.333333333
494,3,1,0,128,1,180,4,6,0
495,0,6,11,180,1,1,0,4.333333333,4.583333333
496,0,6,6,180,33,42,0,4.333333333,5.714285714
497,2,6,4,178,1,24,5,4.5,3.2
498,0,6,4,180,3,26,0,3.833333333,4.4
499,2,4,7,55,1,1,3.5,5.25,6
500,0,2,2,180,72,25,0,7,5
501,5,12,3,30,1,1,4.8,4.25,4
502,1,8,2,20,6,1,7,4.125,5
503,0,2,5,180,85,50,0,6,8.4
504,0,5,9,180,25,1,0,4,4.111111111
505,1,4,4,150,1,1,5,3.75,4.25
506,2,3,6,87,1,1,6.5,2.333333333,4.5
507,4,11,8,22,5,1,5.5,4.454545455,5.125
508,0,8,2,180,10,75,0,3.75,2.5
509,2,0,0,85,180,180,3.5,0,0
510,1,2,2,115,115,98,5,5,4
511,3,0,0,105,180,180,5.333333333,0,0
512,0,6,12,180,1,1,0,4.666666667,6.166666667
513,1,6,12,120,10,1,5,2.166666667,5.166666667
514,5,2,3,1,1,85,3.8,6.5,8.666666667
515,0,1,0,180,110,180,0,5,0
516,4,10,10,60,2,1,5.25,6.4,6
517,2,4,6,30,1,1,1.5,5,4.5
518,1,7,9,25,1,1,5,6.714285714,4.888888889
519,0,0,0,180,180,180,0,0,0
520,0,2,4,180,125,2,0,4,2.5
521,0,4,3,180,9,45,0,2.75,1.666666667
522,0,2,1,180,22,1,0,7.5,2
523,0,3,5,180,1,40,0,11.66666667,5.4
524,7,6,9,5,1,1,5.428571429,5,5.777777778
525,1,4,5,175,1,1,8,7.5,5
526,5,9,2,8,1,1,5.6,3.555555556,5
527,0,11,3,180,5,1,0,4.363636364,6.333333333
528,5,8,7,32,1,1,3,3.25,2.285714286
529,0,0,0,180,180,180,0,0,0
530,0,5,9,180,9,5,0,17.6,3.111111111
531,0,0,0,180,180,180,0,0,0
532,0,3,0,180,1,180,0,2.666666667,0
533,0,0,5,180,180,46,0,0,1.8
534,0,0,0,180,180,180,0,0,0
535,1,15,7,89,12,2,10,2.933333333,1.857142857
536,0,0,0,180,180,180,0,0,0
537,0,14,5,180,1,52,0,2.785714286,0
538,0,0,0,180,180,180,0,0,0
539,0,1,0,180,179,180,0,10,0
540,0,4,1,180,28,44,0,9.25,2
